skill_id,skill_name,category,current_maturity,decision,target_path,golden_path_binding,owner,review_date,notes
SKILL-043,eno,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-044,excel-analysis,skill,unknown,keep_core,skills/,GP-010,TBD,2026-04-08,Excel分析核心
SKILL-045,file-manager,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,文件管理核心
SKILL-046,find-skills,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,技能查找核心
SKILL-047,free-ride,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,功能不明确，建议废弃
SKILL-048,frontend-design-pro,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,前端设计
SKILL-049,getnote,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,Get笔记
SKILL-050,git,skill,unknown,keep_core,skills/,GP-007-GP-008,TBD,2026-04-08,Git核心
SKILL-051,good-txt-to-hwreader,processor,unknown,freeze,TBD,TBD,TBD,2026-04-08,特定场景，需评估
SKILL-052,google-maps,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,谷歌地图
SKILL-053,google-weather,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到weather
SKILL-054,himalaya,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,喜马拉雅
SKILL-055,hot-news-aggregator,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,热点聚合核心
SKILL-056,image,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,图像处理核心
SKILL-057,image-cog,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到image
SKILL-058,image-gen,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,图像生成核心
SKILL-059,imap-smtp-email,adapter,unknown,keep_core,platform/connectors/,TBD,TBD,2026-04-08,邮件核心
SKILL-060,imsg,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,iMessage
SKILL-061,industry-stock-tracker,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,行业追踪
SKILL-062,initiation-of-coverage-or-deep-dive,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,命名不规范，建议废弃
SKILL-063,javascript-skills,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,JS技能
SKILL-064,juejin-skills,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,掘金集成
SKILL-065,keyword-research,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,关键词研究
SKILL-066,klaviyo,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,Klaviyo
SKILL-067,linkedin-api,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,LinkedIn
SKILL-068,local_app_interconnect,adapter,unknown,keep_core,platform/connectors/,TBD,TBD,2026-04-08,本地互联核心
SKILL-069,market-research,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,市场研究核心
SKILL-070,marketing-strategy-pmm,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,营销策略
SKILL-071,markitdown,processor,unknown,keep_core,intelligence/processors/,GP-002-GP-006-GP-009,TBD,2026-04-08,Markdown核心
SKILL-072,mcporter,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,功能不明确，建议废弃
SKILL-073,memory,meta_tool,unknown,keep_core,core/admin/,TBD,TBD,2026-04-08,记忆核心
SKILL-074,memory-setup,meta_tool,unknown,merge,core/admin/,TBD,TBD,2026-04-08,合并到memory
SKILL-075,moltguard,skill,unknown,keep_core,skills/,GP-004,TBD,2026-04-08,安全核心
SKILL-076,moltrade,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-077,mongodb,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,MongoDB
SKILL-078,mx-finance-data,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到tushare-data
SKILL-079,mx-finance-search,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到tushare-data
SKILL-080,mx-financial-assistant,skill,unknown,merge,skills/,TBD,TBD,2026-04-08,合并到china-stock-analysis
SKILL-081,mx-macro-data,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到tushare-data
SKILL-082,mx-stocks-screener,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,股票筛选
SKILL-083,mysql,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,MySQL
SKILL-084,nano-banana-pro,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,命名不规范，建议废弃
SKILL-085,nano-pdf,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到pdf
SKILL-086,novel-generator,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,小说生成
SKILL-087,nutrient-openclaw,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到pdf
SKILL-088,obsidian,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,Obsidian
SKILL-089,ocr-local,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,OCR核心
SKILL-090,ontology,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-091,openai-whisper-api,processor,unknown,keep_supporting,intelligence/processors/,TBD,TBD,2026-04-08,语音识别
SKILL-092,openclaw-agent-optimize,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,优化核心
SKILL-093,openclaw-skills-agent-builder-1.0.3,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,构建器核心
SKILL-094,oracle,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,功能不明确，建议废弃
SKILL-095,paddleocr-doc-parsing,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到ocr-local
SKILL-096,pdf,processor,unknown,keep_core,intelligence/processors/,GP-006,TBD,2026-04-08,PDF核心
SKILL-097,peekaboo,skill,unknown,deprecate,TBD,TBD,TBD,2026-04-08,功能不明确，建议废弃
SKILL-098,personas,persona,unknown,keep_core,intelligence/personas/,TBD,TBD,2026-04-08,人格核心
SKILL-099,pexoai-agent,meta_tool,unknown,freeze,TBD,TBD,TBD,2026-04-08,需评估
SKILL-100,planning-with-files,skill,unknown,keep_core,skills/,GP-001,TBD,2026-04-08,规划核心
SKILL-101,playwright,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,Playwright核心
SKILL-102,poetry,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,诗歌生成
SKILL-103,polymarket-trade,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-104,post-job,skill,unknown,keep_core,skills/,GP-001,TBD,2026-04-08,任务发布核心
SKILL-105,pptx,processor,unknown,keep_core,intelligence/processors/,GP-006,TBD,2026-04-08,PPT核心
SKILL-106,prismfy-search,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到unified-search
SKILL-107,proactivity,meta_tool,unknown,keep_core,core/admin/,TBD,TBD,2026-04-08,主动性核心
SKILL-108,productivity,skill,unknown,keep_core,skills/,GP-001-GP-002,TBD,2026-04-08,生产力核心
SKILL-109,quality-documentation-manager,skill,unknown,keep_core,skills/,GP-009,TBD,2026-04-08,文档管理核心
SKILL-110,react-best-practices,skill,unknown,keep_supporting,skills/,GP-008,TBD,2026-04-08,React最佳实践
SKILL-111,research-cog,skill,unknown,keep_core,skills/,GP-003,TBD,2026-04-08,研究核心
SKILL-112,risk-management-specialist,persona,unknown,keep_core,intelligence/personas/,TBD,TBD,2026-04-08,风险管理核心
SKILL-113,scrapling-official,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,爬虫核心
SKILL-114,screenshot,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,截图核心
SKILL-115,seedream-image_gen,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,图像生成
SKILL-116,self-improving-agent,meta_tool,unknown,keep_core,evolution_lab/,TBD,TBD,2026-04-08,自进化核心
SKILL-117,self-improving-proactive-agent,meta_tool,unknown,merge,evolution_lab/,TBD,TBD,2026-04-08,合并到self-improving-agent
SKILL-118,senior-architect,persona,unknown,keep_core,intelligence/personas/,TBD,TBD,2026-04-08,架构师核心
SKILL-119,senior-data-scientist,persona,unknown,keep_core,intelligence/personas/,TBD,TBD,2026-04-08,数据科学家核心
SKILL-120,senior-security,persona,unknown,keep_core,intelligence/personas/,GP-004,TBD,2026-04-08,安全专家核心
SKILL-121,sheet-cog,processor,unknown,keep_core,intelligence/processors/,GP-010,TBD,2026-04-08,表格核心
SKILL-122,skill-creator,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,技能创建核心
SKILL-123,skill-finder,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,技能查找核心
SKILL-124,skill-finder-cn,meta_tool,unknown,merge,platform/admin/,TBD,TBD,2026-04-08,合并到skill-finder
SKILL-125,skill-install-manager-1-0-0,meta_tool,unknown,keep_core,platform/admin/,TBD,TBD,2026-04-08,安装管理核心
SKILL-126,skill-install-patterns,meta_tool,unknown,merge,platform/admin/,TBD,TBD,2026-04-08,合并到skill-install-manager
SKILL-127,skill-safe-install-l0,meta_tool,unknown,merge,platform/admin/,TBD,TBD,2026-04-08,合并到skill-install-manager
SKILL-128,skills,meta_tool,unknown,deprecate,TBD,TBD,TBD,2026-04-08,命名冲突，建议废弃
SKILL-129,skywork-ppt,skill,unknown,merge,skills/,TBD,TBD,2026-04-08,合并到ai-ppt-generator
SKILL-130,slides-cog,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到pptx
SKILL-131,sonoscli,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,Sonos
SKILL-132,spotify-player,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,Spotify
SKILL-133,sqlite,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,SQLite
SKILL-134,stock-price-query,skill,unknown,keep_core,skills/,GP-010,TBD,2026-04-08,股价查询核心
SKILL-135,story-cog,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,故事生成
SKILL-136,su-lan-paper-daily-skill,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,特定场景，需评估
SKILL-137,t-trading,skill,unknown,freeze,TBD,TBD,TBD,2026-04-08,低使用，需评估
SKILL-138,taskr,skill,unknown,keep_core,skills/,GP-001-GP-002,TBD,2026-04-08,任务核心
SKILL-139,tavily-search-skill,adapter,unknown,keep_supporting,platform/connectors/,GP-003,TBD,2026-04-08,Tavily
SKILL-140,tdd-guide,skill,unknown,keep_core,skills/,GP-008-GP-009,TBD,2026-04-08,TDD核心
SKILL-141,tech-news-digest,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,科技新闻核心
SKILL-142,technical-seo-checker,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,SEO检查
SKILL-143,tencent-cos-skill,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,腾讯COS
SKILL-144,terraform,skill,unknown,keep_core,skills/,GP-007,TBD,2026-04-08,Terraform核心
SKILL-145,topic-monitor,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,话题监控核心
SKILL-146,tushare,adapter,unknown,keep_core,platform/connectors/,TBD,TBD,2026-04-08,Tushare核心
SKILL-147,tushare-data,adapter,unknown,keep_core,platform/connectors/,GP-010,TBD,2026-04-08,Tushare数据核心
SKILL-148,tushare-stock-skill,skill,unknown,merge,skills/,TBD,TBD,2026-04-08,合并到china-stock-analysis
SKILL-149,ui-design-system,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,UI设计
SKILL-150,unified-document,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,统一文档核心
SKILL-151,unified-image,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,统一图像核心
SKILL-152,unified-search,skill,unknown,keep_core,skills/,GP-003-GP-006,TBD,2026-04-08,统一搜索核心
SKILL-153,university-applications,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,大学申请
SKILL-154,verified-agent-identity,meta_tool,unknown,keep_core,platform/admin/,GP-005,TBD,2026-04-08,身份验证核心
SKILL-155,video-agent,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,视频智能体
SKILL-156,video-cog,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,视频认知核心
SKILL-157,video-subtitles,processor,unknown,keep_supporting,intelligence/processors/,TBD,TBD,2026-04-08,视频字幕
SKILL-158,video-transcript-downloader,processor,unknown,merge,intelligence/processors/,TBD,TBD,2026-04-08,合并到video-cog
SKILL-159,wan-image-video-generation-editting,skill,unknown,keep_supporting,skills/,TBD,TBD,2026-04-08,图像视频生成
SKILL-160,weather,adapter,unknown,keep_core,platform/connectors/,TBD,TBD,2026-04-08,天气核心
SKILL-161,web-browsing,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,网页浏览核心
SKILL-162,web-scraper,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,网页爬虫核心
SKILL-163,web-scraping,skill,unknown,merge,skills/,TBD,TBD,2026-04-08,合并到web-scraper
SKILL-164,web-search-exa,adapter,unknown,keep_supporting,platform/connectors/,GP-003,TBD,2026-04-08,Exa搜索
SKILL-165,web-search-plus,skill,unknown,merge,skills/,TBD,TBD,2026-04-08,合并到unified-search
SKILL-166,webapp-testing,skill,unknown,keep_core,skills/,GP-007-GP-008,TBD,2026-04-08,Web测试核心
SKILL-167,x-search,adapter,unknown,keep_supporting,platform/connectors/,TBD,TBD,2026-04-08,X搜索
SKILL-168,xiaohongshu-all-in-one,adapter,unknown,keep_core,platform/connectors/,TBD,TBD,2026-04-08,小红书核心
SKILL-169,xiaoyi-doc-convert,processor,unknown,keep_core,intelligence/processors/,TBD,TBD,2026-04-08,文档转换核心
SKILL-170,xiaoyi-file-upload,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,文件上传核心
SKILL-171,xiaoyi-image-search,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,图片搜索核心
SKILL-172,xiaoyi-image-understanding,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,图片理解核心
SKILL-173,xiaoyi-report,skill,unknown,keep_core,skills/,TBD,TBD,2026-04-08,报告生成核心
SKILL-174,xiaoyi-web-search,skill,unknown,keep_core,skills/,GP-003,TBD,2026-04-08,网页搜索核心
SKILL-175,zhipu-web-search,adapter,unknown,merge,platform/connectors/,TBD,TBD,2026-04-08,合并到unified-search
